Gene 1,Gene 2,cv,train
A2m,Serpinf2,0.625,0.8125
A2m,Tfrc,0.9375,0.9375
A2m,Pnp,0.875,0.875
A2m,F12,0.8125,0.875
A2m,Ighg1,0.625,0.75
A2m,Tubb4b,0.625,0.875
A2m,Sell,0.875,0.875
A2m,Masp1,0.75,0.875
A2m,Hyou1,0.6875,0.8125
A2m,Man2b1,0.625,0.875
A2m,Amy1,0.625,0.8125
A2m,Gpx1,0.6875,0.8125
A2m,Umod,0.6875,0.875
A2m,Apod,0.625,0.8125
A2m,Serpina1b,0.6875,0.75
A2m,F13a1,0.6875,0.75
A2m,Ptprg,0.6875,0.75
A2m,Ighv3-6,0.5625,0.75
A2m,Cd93,0.5625,0.75
A2m,Cdh13,0.75,0.8125
A2m,Cfb,0.625,0.8125
A2m,Manba,0.75,0.8125
A2m,Arpc3,0.875,0.875
A2m,Sod3,0.75,0.9375
A2m,Ca3,0.6875,0.8125
A2m,Ces2e,0.6875,0.875
A2m,Ywhaz,0.875,0.8125
A2m,Apof,0.6875,0.8125
A2m,P4hb,0.6875,0.9375
A2m,Tkt,0.9375,0.875
A2m,Ghr,0.625,0.8125
Serpina1a,Cpn2,0.75,0.8125
Serpina1a,Ggh,0.625,0.8125
Serpina1a,F9,0.875,0.875
Serpina1a,Plxdc2,0.75,0.875
Serpina1a,Taldo1,0.75,0.8125
Serpina1a,Kng1,0.75,0.8125
Serpina1a,Ext2,0.8125,0.8125
Serpina1a,Eef2,0.75,0.8125
Serpina1a,Cst3,0.75,0.8125
Serpina1a,Lpl,0.6875,0.875
Serpina1a,Ngp,0.75,0.875
Serpina1a,Fga,0.75,0.875
Serpina1a,C9,0.75,0.8125
Serpina1a,Igfbp3,0.8125,0.9375
Serpina1a,Afm,0.6875,0.8125
Serpina1a,Apcs,0.75,0.875
Serpina1a,Itih2,0.875,1.0
Serpina1a,Dkk3,0.8125,0.875
Serpina1a,Serpina3n,0.75,0.8125
Serpina1a,Psmb10,0.6875,0.875
Serpina1a,F2,0.6875,0.8125
Serpina1a,Selenop,0.8125,0.8125
Serpina1a,Msn,0.8125,0.8125
Serpina1a,Ctsz,0.8125,0.8125
Serpina1a,Apoc2,0.6875,0.75
Serpina1a,Vcl,0.625,0.8125
Serpina1a,Fgb,0.75,0.9375
Serpina1a,Serping1,0.875,0.875
Serpina1a,Amy2,0.8125,0.875
Serpina1a,Apoc4,0.75,0.8125
Serpina1a,Fgg,0.8125,0.875
Serpina1a,Col11a2,0.8125,0.8125
Serpina1a,Serpina6,0.75,0.9375
Serpina1a,Igf1,0.8125,0.875
Serpina1a,Clu,0.625,0.8125
Serpina1a,Pi16,0.5625,0.8125
Serpina1a,Tuba1b,0.75,0.875
Serpina1a,Serpina10,0.8125,0.8125
Serpina1a,Lamp2,0.8125,0.875
Serpina1a,Antxr2,0.625,0.8125
Serpina1a,Pigr,0.75,0.75
Serpina1a,Hamp,0.75,0.8125
Serpina1a,Lrp1,0.8125,0.875
Serpina1a,Ptprm,0.75,0.875
Serpina1a,Egfr,0.75,0.875
Serpina1a,Ptgds,0.8125,0.8125
Serpina1a,Ca2,0.75,0.8125
Serpina1a,Psma7,0.6875,0.75
Serpina1a,Fbln1,0.75,0.8125
Serpina1a,Lap3,0.8125,0.875
Serpina1a,Spink1,0.8125,0.8125
Serpina1a,Tmsb4x,0.875,0.875
Serpina1a,Tagln2,0.8125,0.875
Serpina1a,Dpep2,0.875,0.875
Serpina1a,Btd,0.75,0.8125
Serpina1a,Cela2a,0.75,0.8125
Serpina1a,Cycs,0.75,0.875
Serpina1a,Hpx,0.8125,0.875
Serpina1a,Fbln5,0.6875,0.875
Serpina1a,Me1,0.8125,0.875
Serpina1a,Cela1,0.6875,0.75
Serpina1a,Pgd,0.6875,0.75
Serpina1a,Minpp1,0.875,0.875
Serpina1a,Serpinf2,0.8125,0.8125
Serpina1a,Tfrc,0.8125,0.875
Serpina1a,Pnp,0.75,0.75
Serpina1a,F12,0.8125,0.8125
Serpina1a,Ighg1,0.8125,0.9375
Serpina1a,Tubb4b,0.75,0.875
Serpina1a,Sell,0.75,0.875
Serpina1a,Masp1,0.6875,0.875
Serpina1a,Hyou1,0.75,0.8125
Serpina1a,Man2b1,0.6875,0.875
Serpina1a,Amy1,0.6875,0.8125
Serpina1a,Gpx1,0.75,0.8125
Serpina1a,Umod,0.8125,0.8125
Serpina1a,Apod,0.8125,0.875
Serpina1a,Serpina1b,0.8125,0.875
Serpina1a,F13a1,0.8125,0.8125
Serpina1a,Ptprg,0.75,0.8125
Serpina1a,Ighv3-6,0.75,0.8125
Serpina1a,Cd93,0.75,0.8125
Serpina1a,Cdh13,0.875,0.875
Serpina1a,Cfb,0.6875,0.875
Serpina1a,Manba,0.8125,0.8125
Serpina1a,Arpc3,0.875,0.875
Serpina1a,Sod3,0.8125,0.875
Serpina1a,Ca3,0.875,0.9375
Serpina1a,Ces2e,0.6875,0.875
Serpina1a,Ywhaz,0.6875,0.75
Serpina1a,Apof,0.6875,0.875
Serpina1a,P4hb,0.75,0.875
Serpina1a,Tkt,0.75,0.8125
Serpina1a,Ghr,0.75,0.8125
Cpn2,Ggh,0.625,0.875
Cpn2,F9,0.75,0.875
Cpn2,Plxdc2,0.8125,0.75
Cpn2,Taldo1,0.75,0.75
Cpn2,Kng1,0.75,0.8125
Cpn2,Ext2,0.75,0.8125
Cpn2,Eef2,0.875,0.875
Cpn2,Cst3,0.6875,0.875
Cpn2,Lpl,0.8125,1.0
Cpn2,Ngp,0.6875,0.875
Cpn2,Fga,0.6875,0.875
Cpn2,C9,0.6875,0.8125
Cpn2,Igfbp3,0.75,0.9375
Cpn2,Afm,0.625,0.8125
Cpn2,Apcs,0.875,0.875
Cpn2,Itih2,0.9375,1.0
Cpn2,Dkk3,0.75,0.875
Cpn2,Serpina3n,0.8125,0.875
Cpn2,Psmb10,0.5625,0.9375
Cpn2,F2,0.625,0.8125
Cpn2,Selenop,0.6875,0.9375
Cpn2,Msn,0.6875,0.8125
Cpn2,Ctsz,0.8125,0.875
Cpn2,Apoc2,0.625,0.8125
Cpn2,Vcl,0.625,0.8125
Cpn2,Fgb,0.75,0.8125
Cpn2,Serping1,0.75,0.875
Cpn2,Amy2,0.6875,0.8125
Cpn2,Apoc4,0.6875,0.8125
Cpn2,Fgg,0.75,0.875
Cpn2,Col11a2,0.75,0.8125
Cpn2,Serpina6,0.75,0.9375
Cpn2,Igf1,0.75,0.875
Cpn2,Clu,0.75,0.9375
Cpn2,Pi16,0.625,0.875
Cpn2,Tuba1b,0.6875,0.8125
Cpn2,Serpina10,0.75,0.8125
Cpn2,Lamp2,0.75,0.8125
Cpn2,Antxr2,0.5625,0.8125
Cpn2,Pigr,0.625,0.8125
Cpn2,Hamp,0.625,0.875
Cpn2,Lrp1,0.9375,0.9375
Cpn2,Ptprm,0.875,0.9375
Cpn2,Egfr,0.6875,0.8125
Cpn2,Ptgds,0.6875,0.8125
Cpn2,Ca2,0.75,0.8125
Cpn2,Psma7,0.875,0.9375
Cpn2,Fbln1,0.6875,0.9375
Cpn2,Lap3,0.75,0.8125
Cpn2,Spink1,0.75,0.8125
Cpn2,Tmsb4x,0.75,0.8125
Cpn2,Tagln2,0.6875,0.8125
Cpn2,Dpep2,0.75,0.8125
Cpn2,Btd,0.625,0.8125
Cpn2,Cela2a,0.875,0.875
Cpn2,Cycs,0.6875,0.8125
Cpn2,Hpx,0.75,0.8125
Cpn2,Fbln5,0.6875,0.8125
Cpn2,Me1,0.8125,0.8125
Cpn2,Cela1,0.75,0.8125
Cpn2,Pgd,0.6875,0.8125
Cpn2,Minpp1,0.6875,0.8125
Cpn2,Serpinf2,0.75,0.8125
Cpn2,Tfrc,0.6875,0.8125
Cpn2,Pnp,0.75,0.875
Cpn2,F12,0.75,0.875
Cpn2,Ighg1,0.6875,1.0
Cpn2,Tubb4b,0.6875,0.8125
Cpn2,Sell,0.8125,0.8125
Cpn2,Masp1,0.8125,0.9375
Cpn2,Hyou1,0.75,0.8125
Cpn2,Man2b1,0.625,0.9375
Cpn2,Amy1,0.75,0.8125
Cpn2,Gpx1,0.75,0.8125
Cpn2,Umod,0.625,0.875
Cpn2,Apod,0.625,0.8125
Cpn2,Serpina1b,0.6875,0.75
Cpn2,F13a1,0.75,0.8125
Cpn2,Ptprg,0.75,0.8125
Cpn2,Ighv3-6,0.6875,0.75
Cpn2,Cd93,0.6875,0.8125
Cpn2,Cdh13,0.75,0.8125
Cpn2,Cfb,0.9375,0.9375
Cpn2,Manba,0.875,0.9375
Cpn2,Arpc3,0.625,0.8125
Cpn2,Sod3,0.75,0.9375
Cpn2,Ca3,0.75,0.9375
Cpn2,Ces2e,0.625,0.8125
Cpn2,Ywhaz,0.6875,0.8125
Cpn2,Apof,0.5625,0.8125
Cpn2,P4hb,0.625,0.875
Cpn2,Tkt,0.75,0.8125
Cpn2,Ghr,0.6875,0.8125
Ggh,F9,0.8125,0.9375
Ggh,Plxdc2,0.625,0.75
Ggh,Taldo1,0.875,0.875
Ggh,Kng1,0.6875,0.8125
Ggh,Ext2,0.6875,0.8125
Ggh,Eef2,0.6875,0.75
Ggh,Cst3,0.6875,0.8125
Ggh,Lpl,0.6875,0.8125
Ggh,Ngp,0.875,0.9375
Ggh,Fga,0.75,0.875
Ggh,C9,0.625,0.8125
Ggh,Igfbp3,0.875,0.875
Ggh,Afm,0.75,0.75
Ggh,Apcs,0.6875,0.8125
Ggh,Itih2,0.6875,0.8125
Ggh,Dkk3,0.5625,0.75
Ggh,Serpina3n,0.875,0.875
Ggh,Psmb10,0.6875,0.875
Ggh,F2,0.625,0.8125
Ggh,Selenop,0.8125,0.8125
Ggh,Msn,0.6875,0.75
Ggh,Ctsz,0.6875,0.9375
Ggh,Apoc2,0.6875,0.875
Ggh,Vcl,0.5625,0.75
Ggh,Fgb,0.8125,0.9375
Ggh,Serping1,0.8125,0.875
Ggh,Amy2,0.5625,0.75
Ggh,Apoc4,0.875,0.9375
Ggh,Fgg,0.8125,0.9375
Ggh,Col11a2,0.5625,0.75
Ggh,Serpina6,0.6875,0.75
Ggh,Igf1,0.625,0.8125
Ggh,Clu,0.5625,0.6875
Ggh,Pi16,0.5625,0.75
Ggh,Tuba1b,0.75,0.6875
Ggh,Serpina10,0.5625,0.75
